24,8,4.462153,11.969113,5.418122,17.071987,4.150132,2.562338
24,7,4.444231,11.992429,3.817796,17.033823,4.019730,2.555241
24,6,4.460212,11.947022,3.307295,16.867834,4.001094,2.480448
24,5,4.435776,11.934907,2.448160,17.035167,4.034152,2.481248
24,4,4.469101,11.957437,1.733543,17.091315,3.908802,2.554693
24,3,4.456429,11.927337,1.224707,17.200491,3.899805,2.527361
24,2,4.458048,11.933293,1.612257,17.192527,4.680014,2.718713
24,1,4.437238,11.932958,2.767379,16.858547,8.984297,3.293158
23,8,2.137610,5.618624,3.410288,8.022275,1.762336,1.183972
23,7,2.133284,5.612204,2.197588,7.932615,1.710587,1.199592
23,6,2.125488,5.589697,1.487362,7.889161,1.539675,1.211604
23,5,2.127557,5.613586,1.139264,8.021045,1.613602,1.186202
23,4,2.128200,5.604257,1.066122,7.990940,1.534287,1.218527
23,3,2.133169,5.610156,0.674680,7.943911,1.508411,1.202583
23,2,2.125557,5.588475,0.768225,7.865670,2.026480,1.322743
23,1,2.127470,5.607117,1.340733,7.961728,3.802184,1.574409
22,8,1.017369,2.623263,2.334666,3.681259,0.599046,0.565818
22,7,1.021660,2.622794,1.516519,3.658337,0.586379,0.583112
22,6,1.023561,2.632137,0.809107,3.709038,0.553163,0.569490
22,5,1.018366,2.632524,0.772082,3.729961,0.477646,0.581658
22,4,1.013532,2.622173,0.534485,3.679578,0.458628,0.571432
22,3,1.017519,2.623335,0.358169,3.699911,0.393673,0.572285
22,2,1.016869,2.626133,0.396670,3.703937,0.741260,0.631419
22,1,1.015154,2.622089,0.628361,3.659335,1.709826,0.755568
21,8,0.488770,1.231121,1.663093,1.641597,0.310538,0.275454
21,7,0.485089,1.229096,0.740049,1.633696,0.287613,0.500969
21,6,0.485352,1.242341,0.566189,1.663085,0.291179,0.281577
21,5,0.487693,1.231266,0.465827,1.650802,0.281032,0.503651
21,4,0.484489,1.228666,0.318800,1.663713,0.285313,0.271816
21,3,0.488235,1.229112,0.177225,1.662857,0.183452,0.290335
21,2,0.484320,1.229260,0.206852,1.683119,0.347921,0.307150
21,1,0.487534,1.231406,0.301386,1.663185,0.665228,0.371456
20,8,0.230799,0.575900,1.046624,0.661253,0.193968,0.131579
20,7,0.231348,0.573036,0.476883,0.664529,0.159464,0.148262
20,6,0.236826,0.575745,0.380096,0.661972,0.149387,0.135148
20,5,0.230134,0.576798,0.223764,0.667169,0.128193,0.133171
20,4,0.230789,0.574439,0.180903,0.672685,0.127465,0.132798
20,3,0.234712,0.573446,0.100021,0.667369,0.091647,0.266038
20,2,0.230933,0.574425,0.105328,0.668650,0.162558,0.149834
20,1,0.230187,0.576217,0.153183,0.664267,0.311276,0.181260
19,8,0.109851,0.268186,0.628350,0.305179,0.144070,0.066058
19,7,0.109627,0.269734,0.354525,0.305386,0.098472,0.124402
19,6,0.109545,0.267427,0.235700,0.305982,0.084403,0.117606
19,5,0.111089,0.267757,0.118485,0.304954,0.069051,0.118310
19,4,0.109646,0.269041,0.096882,0.305584,0.089642,0.064757
19,3,0.109918,0.267868,0.061175,0.304661,0.044362,0.141932
19,2,0.109553,0.267882,0.053401,0.304929,0.078222,0.071643
19,1,0.109630,0.268316,0.073052,0.305316,0.144242,0.087422
18,8,0.052512,0.124685,0.575071,0.139850,0.116098,0.031848
18,7,0.052308,0.124510,0.312046,0.140291,0.076231,0.040029
18,6,0.052051,0.124513,0.139518,0.139903,0.053621,0.036625
18,5,0.052352,0.124739,0.096326,0.140837,0.054764,0.066984
18,4,0.052507,0.124481,0.046721,0.140926,0.038584,0.035169
18,3,0.052535,0.124556,0.034161,0.140255,0.028205,0.080739
18,2,0.052340,0.124510,0.028725,0.139909,0.037797,0.037493
18,1,0.052092,0.124539,0.035732,0.139967,0.067620,0.043347
